@timestamp,@logStream,@duration,@initDuration,@maxMemoryUsed
2026-05-28 12:30:29.314,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.64,,85000000
2026-05-28 12:30:29.315,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.83,,86000000
2026-05-28 12:30:29.318,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,2.07,,86000000
2026-05-28 12:30:29.326,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,1.82,,86000000
2026-05-28 12:30:29.329,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,6.82,,86000000
2026-05-28 12:30:29.329,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.6,,85000000
2026-05-28 12:30:29.349,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.39,,86000000
2026-05-28 12:30:29.369,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,3.54,,86000000
2026-05-28 12:30:29.372,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,5.12,,86000000
2026-05-28 12:30:29.372,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,2.15,,86000000
2026-05-28 12:30:29.381,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,1.62,,86000000
2026-05-28 12:30:29.384,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,5,,86000000
2026-05-28 12:30:29.390,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.6,,85000000
2026-05-28 12:30:29.406,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.9,,86000000
2026-05-28 12:30:29.450,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.67,,85000000
2026-05-28 12:30:29.453,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.65,,85000000
2026-05-28 12:30:29.459,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.64,,86000000
2026-05-28 12:30:29.488,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.6,,85000000
2026-05-28 12:30:29.490,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.85,,86000000
2026-05-28 12:30:29.495,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.54,,85000000
2026-05-28 12:30:29.516,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.67,,85000000
2026-05-28 12:30:29.516,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.67,,85000000
2026-05-28 12:30:29.534,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.59,,85000000
2026-05-28 12:30:29.546,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.73,,86000000
2026-05-28 12:30:29.563,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.67,,86000000
2026-05-28 12:30:29.580,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.62,,85000000
2026-05-28 12:30:29.608,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.74,,85000000
2026-05-28 12:30:29.620,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.68,,86000000
2026-05-28 12:30:29.626,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.58,,85000000
2026-05-28 12:30:29.629,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.55,,86000000
2026-05-28 12:30:29.634,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.38,,85000000
2026-05-28 12:30:29.642,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,10.82,,86000000
2026-05-28 12:30:29.659,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.75,,85000000
2026-05-28 12:30:29.661,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,5.74,,86000000
2026-05-28 12:30:29.663,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.76,,85000000
2026-05-28 12:30:29.675,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,2.96,,85000000
2026-05-28 12:30:29.679,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.71,,86000000
2026-05-28 12:30:29.683,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,2.14,,86000000
2026-05-28 12:30:29.691,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.6,,85000000
2026-05-28 12:30:29.691,2026/05/28/[$LATEST]4f6d928700b0454089f4d3ba5806fd95,1.93,,85000000
2026-05-28 12:30:29.694,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.97,,85000000
2026-05-28 12:30:29.695,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,5.79,,85000000
2026-05-28 12:30:29.702,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,3.27,,86000000
2026-05-28 12:30:29.706,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.68,,86000000
2026-05-28 12:30:29.712,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.71,,85000000
2026-05-28 12:30:29.714,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,3.7,,85000000
2026-05-28 12:30:29.734,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.81,,86000000
2026-05-28 12:30:29.734,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,13.23,,85000000
2026-05-28 12:30:29.743,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.73,,85000000
2026-05-28 12:30:29.746,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,2.02,,86000000
2026-05-28 12:30:29.749,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.65,,86000000
2026-05-28 12:30:29.752,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,4.35,,86000000
2026-05-28 12:30:29.755,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,14.64,,85000000
2026-05-28 12:30:29.768,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.68,,86000000
2026-05-28 12:30:29.770,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,7.57,,86000000
2026-05-28 12:30:29.776,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,1.93,,86000000
2026-05-28 12:30:29.777,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.51,,85000000
2026-05-28 12:30:29.781,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.75,,86000000
2026-05-28 12:30:29.788,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,1.71,,86000000
2026-05-28 12:30:29.789,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,13.78,,86000000
2026-05-28 12:30:29.799,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,6.54,,86000000
2026-05-28 12:30:29.804,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,1.85,,86000000
2026-05-28 12:30:29.808,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.83,,85000000
2026-05-28 12:30:29.817,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.69,,86000000
2026-05-28 12:30:29.821,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,7.34,,86000000
2026-05-28 12:30:29.823,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.69,,85000000
2026-05-28 12:30:29.825,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.73,,85000000
2026-05-28 12:30:29.825,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.32,,86000000
2026-05-28 12:30:29.828,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,10.66,,86000000
2026-05-28 12:30:29.829,2026/05/28/[$LATEST]4f6d928700b0454089f4d3ba5806fd95,2.79,,85000000
2026-05-28 12:30:29.830,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.73,,86000000
2026-05-28 12:30:29.834,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,3.55,,85000000
2026-05-28 12:30:29.841,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,13.87,,86000000
2026-05-28 12:30:29.855,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.89,,86000000
2026-05-28 12:30:29.862,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.56,,86000000
2026-05-28 12:30:29.862,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,13.18,,86000000
2026-05-28 12:30:29.901,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,23.16,,86000000
2026-05-28 12:30:29.902,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.64,,85000000
2026-05-28 12:30:29.925,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.74,,85000000
2026-05-28 12:30:29.931,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.74,,86000000
2026-05-28 12:30:29.940,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,4.66,,86000000
2026-05-28 12:30:29.943,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.85,,86000000
2026-05-28 12:30:29.950,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,2.03,,86000000
2026-05-28 12:30:29.968,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.7,,85000000
2026-05-28 12:30:29.970,2026/05/28/[$LATEST]4f6d928700b0454089f4d3ba5806fd95,1.72,,85000000
2026-05-28 12:30:29.975,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.47,,85000000
2026-05-28 12:30:29.986,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.41,,85000000
2026-05-28 12:30:29.987,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,1.96,,86000000
2026-05-28 12:30:29.990,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.98,,86000000
2026-05-28 12:30:30.001,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,9.02,,86000000
2026-05-28 12:30:30.008,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.64,,85000000
2026-05-28 12:30:30.015,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.33,,85000000
2026-05-28 12:30:30.017,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.84,,86000000
2026-05-28 12:30:30.018,2026/05/28/[$LATEST]4f6d928700b0454089f4d3ba5806fd95,1.74,,85000000
2026-05-28 12:30:30.020,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,5.57,,86000000
2026-05-28 12:30:30.027,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.77,,86000000
2026-05-28 12:30:30.035,2026/05/28/[$LATEST]4f6d928700b0454089f4d3ba5806fd95,10.09,,85000000
